price,volume,side
92928.4,3.845,bid
92928.0,0.103,bid
92927.9,0.001,bid
92925.6,0.004,bid
92924.4,0.009,bid
92923.7,0.001,bid
92923.3,0.001,bid
92923.0,0.173,bid
92922.9,0.531,bid
92920.8,0.043,bid
92920.5,0.001,bid
92919.1,0.002,bid
92919.0,0.001,bid
92918.8,1.952,bid
92918.6,1.133,bid
92918.5,0.056,bid
92918.4,0.006,bid
92917.7,0.001,bid
92916.3,0.001,bid
92916.1,1.085,bid
92916.0,2.679,bid
92915.8,0.001,bid
92914.4,0.054,bid
92914.3,0.023,bid
92914.2,0.009,bid
92914.1,0.011,bid
92914.0,0.82,bid
92913.9,0.766,bid
92913.7,0.011,bid
92913.3,0.011,bid
92913.0,0.001,bid
92912.7,0.1,bid
92912.6,0.054,bid
92912.5,0.011,bid
92912.1,0.001,bid
92911.6,0.054,bid
92911.5,0.064,bid
92911.3,0.086,bid
92911.2,0.064,bid
92911.1,0.103,bid
92911.0,0.148,bid
92910.9,0.182,bid
92910.8,0.102,bid
92910.7,0.032,bid
92910.6,0.627,bid
92910.5,0.054,bid
92910.4,0.016,bid
92910.2,0.017,bid
92910.0,0.111,bid
92909.9,0.016,bid
92909.8,0.124,bid
92909.7,0.016,bid
92909.6,0.001,bid
92909.5,0.016,bid
92909.4,0.097,bid
92909.3,0.131,bid
92909.2,1.011,bid
92909.1,1.196,bid
92909.0,0.231,bid
92908.9,0.096,bid
92908.8,0.112,bid
92908.7,0.16,bid
92908.6,0.051,bid
92908.5,0.032,bid
92908.4,0.01,bid
92908.3,0.082,bid
92908.2,0.01,bid
92908.0,0.097,bid
92907.7,0.054,bid
92907.6,0.011,bid
92907.4,0.055,bid
92907.3,0.499,bid
92907.2,0.054,bid
92907.0,0.001,bid
92906.7,0.054,bid
92906.5,0.021,bid
92906.4,0.108,bid
92906.3,1.183,bid
92905.7,0.141,bid
92905.6,0.054,bid
92905.4,0.054,bid
92905.3,0.144,bid
92905.2,0.144,bid
92905.1,0.055,bid
92905.0,0.147,bid
92904.9,0.001,bid
92904.6,0.064,bid
92904.5,0.865,bid
92904.4,1.703,bid
92904.3,1.39,bid
92904.2,0.753,bid
92904.0,0.361,bid
92903.4,0.016,bid
92903.1,0.011,bid
92903.0,0.001,bid
92902.9,0.022,bid
92902.8,0.147,bid
92902.6,0.456,bid
92902.5,0.021,bid
92901.9,0.001,bid
92901.7,0.004,bid
92901.6,0.218,bid
92901.5,0.062,bid
92901.2,0.021,bid
92901.0,0.024,bid
92900.9,0.1,bid
92900.7,1.075,bid
92900.6,0.001,bid
92900.5,0.025,bid
92900.3,0.161,bid
92900.2,0.212,bid
92900.1,25.545,bid
92900.0,86.811,bid
92899.9,0.024,bid
92899.8,0.002,bid
92899.7,0.011,bid
92899.4,0.043,bid
92899.3,0.079,bid
92899.1,0.001,bid
92899.0,0.01,bid
92898.7,0.608,bid
92898.6,0.789,bid
92898.5,0.108,bid
92898.4,0.001,bid
92898.2,0.001,bid
92898.0,0.3,bid
92897.9,0.446,bid
92897.7,0.003,bid
92897.5,0.001,bid
92897.4,0.001,bid
92897.3,0.001,bid
