price,volume,side
75938.4,4.26,bid
75937.5,0.001,bid
75937.4,0.089,bid
75937.3,0.001,bid
75937.2,0.001,bid
75937.1,0.087,bid
75936.6,0.001,bid
75936.5,0.001,bid
75936.0,0.105,bid
75935.8,0.001,bid
75935.6,0.106,bid
75935.1,0.001,bid
75935.0,0.001,bid
75934.4,0.271,bid
75934.3,0.363,bid
75934.1,0.011,bid
75933.5,0.001,bid
75933.4,0.001,bid
75932.8,0.001,bid
75932.6,0.007,bid
75932.5,0.16,bid
75932.4,0.083,bid
75932.2,0.159,bid
75932.1,0.05,bid
75932.0,0.053,bid
75931.7,0.014,bid
75931.6,0.562,bid
75931.5,0.13,bid
75931.3,0.001,bid
75931.0,0.013,bid
75930.9,0.001,bid
75930.8,0.017,bid
75930.5,0.001,bid
75930.0,0.108,bid
75929.9,0.258,bid
75929.8,0.001,bid
75929.6,0.001,bid
75929.0,0.173,bid
75928.8,0.159,bid
75928.7,0.001,bid
75928.6,0.001,bid
75928.2,0.001,bid
75928.0,0.052,bid
75927.5,0.002,bid
75927.4,0.026,bid
75926.7,0.002,bid
75926.4,0.045,bid
75926.3,0.001,bid
75926.1,0.093,bid
75926.0,1.596,bid
75925.9,0.042,bid
75925.8,0.001,bid
75925.6,0.377,bid
75925.5,0.159,bid
75925.4,0.284,bid
75925.3,0.014,bid
75925.2,0.001,bid
75925.0,0.389,bid
75924.7,0.268,bid
75924.6,0.046,bid
75924.5,0.02,bid
75924.4,0.041,bid
75924.3,0.034,bid
75924.1,1.558,bid
75924.0,4.135,bid
75923.8,0.086,bid
75923.7,0.364,bid
75923.6,0.04,bid
75923.5,0.02,bid
75923.3,0.395,bid
75923.2,0.001,bid
75923.1,0.013,bid
75922.9,0.04,bid
75922.8,0.013,bid
75922.6,0.742,bid
75922.5,0.661,bid
75922.4,0.59,bid
75922.3,0.609,bid
75922.2,0.027,bid
75922.1,0.376,bid
75922.0,0.438,bid
75921.9,0.126,bid
75921.8,0.013,bid
75921.7,0.921,bid
75921.6,0.736,bid
75921.5,0.066,bid
75921.4,0.119,bid
75921.3,0.104,bid
75921.2,0.223,bid
75921.1,0.362,bid
75921.0,0.157,bid
75920.9,0.031,bid
75920.8,0.066,bid
75920.7,0.119,bid
75920.6,1.444,bid
75920.5,0.685,bid
75920.3,0.053,bid
75920.2,1.036,bid
75920.1,0.01,bid
75920.0,0.179,bid
75919.9,0.013,bid
75919.8,0.066,bid
75919.7,0.001,bid
75919.6,0.086,bid
75919.5,0.02,bid
75919.4,0.04,bid
75919.3,0.086,bid
75919.2,1.593,bid
75919.1,0.001,bid
75919.0,0.118,bid
75918.8,0.034,bid
75918.6,0.159,bid
75918.5,0.249,bid
75918.3,0.066,bid
75918.2,0.262,bid
75918.1,0.035,bid
75917.9,0.001,bid
75917.7,0.001,bid
75917.6,0.001,bid
75917.5,0.535,bid
75917.4,0.014,bid
75917.3,0.016,bid
75917.2,0.436,bid
75917.0,0.024,bid
75916.9,0.024,bid
75916.7,0.013,bid
75916.6,1.459,bid
75916.4,1.074,bid
75916.3,0.006,bid
75916.2,0.091,bid
75916.1,1.925,bid
75916.0,0.173,bid
75915.7,0.013,bid
75915.5,0.361,bid
75915.3,0.907,bid
75915.2,0.173,bid
75915.0,0.16,bid
75914.6,0.001,bid
75914.5,0.362,bid
75914.4,0.001,bid
75914.3,0.514,bid
75914.2,0.002,bid
75914.1,0.006,bid
75913.8,3.796,bid
75913.7,0.632,bid
75913.6,0.064,bid
75913.5,0.197,bid
75913.4,0.145,bid
75913.2,0.362,bid
75913.1,0.002,bid
75913.0,0.001,bid
75912.7,0.067,bid
75912.6,0.247,bid
75912.5,3.437,bid
75912.4,0.002,bid
75912.3,1.444,bid
75912.1,1.035,bid
75912.0,0.11,bid
75911.9,0.132,bid
75911.8,0.162,bid
75911.7,1.974,bid
75911.6,0.061,bid
75911.5,0.159,bid
75911.4,0.012,bid
75911.2,0.103,bid
75911.1,0.002,bid
75911.0,0.006,bid
75910.9,0.001,bid
75910.8,0.039,bid
75910.7,2.433,bid
75910.6,0.001,bid
75910.5,0.514,bid
75910.4,0.026,bid
75910.0,0.128,bid
75909.9,0.535,bid
75909.8,0.103,bid
75909.6,0.148,bid
75909.4,0.121,bid
75909.3,0.107,bid
75909.1,0.027,bid
75908.9,1.48,bid
75908.8,1.504,bid
75908.7,1.861,bid
75908.5,1.557,bid
75908.3,0.001,bid
75908.0,0.001,bid
75907.9,0.348,bid
75907.8,0.001,bid
75907.7,0.028,bid
75907.6,0.786,bid
75907.5,0.029,bid
75907.2,1.035,bid
75907.0,0.001,bid
75906.9,0.098,bid
75906.7,0.562,bid
75906.2,0.018,bid
75906.1,0.614,bid
75906.0,0.104,bid
75905.9,0.009,bid
75905.8,0.21,bid
75938.5,5.523,ask
75938.8,0.348,ask
75938.9,0.401,ask
75939.1,0.001,ask
75939.5,0.16,ask
75939.6,0.002,ask
75939.9,0.001,ask
75940.0,0.052,ask
75940.3,0.001,ask
75940.9,0.001,ask
75941.0,0.001,ask
75941.5,0.001,ask
75941.8,0.011,ask
75942.0,0.361,ask
75942.4,0.159,ask
75942.5,0.002,ask
75942.9,0.013,ask
75943.0,0.159,ask
75943.3,0.014,ask
75943.5,0.001,ask
75943.7,0.02,ask
75943.9,0.06,ask
75944.0,0.073,ask
75944.1,0.053,ask
75944.2,0.12,ask
75944.3,0.047,ask
75944.4,1.464,ask
75944.5,0.04,ask
75944.6,0.362,ask
75944.8,0.014,ask
75944.9,1.811,ask
75945.0,0.074,ask
75945.1,0.183,ask
75945.2,0.267,ask
75945.3,0.916,ask
75945.4,1.135,ask
75945.5,0.622,ask
75945.6,0.619,ask
75945.7,0.085,ask
75945.8,0.172,ask
75945.9,0.013,ask
75946.1,1.049,ask
75946.3,0.054,ask
75946.4,0.04,ask
75946.5,0.234,ask
75946.6,0.402,ask
75946.8,0.059,ask
75946.9,0.021,ask
75947.0,0.402,ask
75947.1,0.033,ask
75947.2,0.003,ask
75947.5,0.027,ask
75947.6,1.149,ask
75947.7,1.472,ask
