price,volume,side
91250.0,2.96,bid
91249.5,0.011,bid
91249.2,0.024,bid
91248.8,0.003,bid
91248.0,0.04,bid
91246.7,0.004,bid
91246.2,0.022,bid
91246.0,0.001,bid
91245.7,0.002,bid
91245.6,0.301,bid
91245.5,0.164,bid
91245.4,0.595,bid
91245.1,0.211,bid
91244.1,0.004,bid
91244.0,0.041,bid
91243.5,0.095,bid
91243.4,0.001,bid
91241.6,0.128,bid
91241.1,0.001,bid
91241.0,0.001,bid
91240.9,0.318,bid
91240.8,0.001,bid
91240.7,2.28,bid
91240.6,0.009,bid
91240.3,0.005,bid
91240.0,0.08,bid
91239.7,0.013,bid
91239.5,0.002,bid
91239.0,1.097,bid
91238.9,0.767,bid
91237.8,0.311,bid
91237.7,0.022,bid
91237.6,0.066,bid
91237.5,0.011,bid
91237.3,0.001,bid
91237.0,0.055,bid
91236.8,0.085,bid
91236.7,3.159,bid
91236.6,0.597,bid
91236.5,0.372,bid
91236.4,2.102,bid
91236.3,0.002,bid
91236.2,0.055,bid
91236.1,0.055,bid
91235.9,0.018,bid
91235.8,0.363,bid
91235.5,0.024,bid
91235.4,0.016,bid
91235.2,0.198,bid
91235.1,0.08,bid
91235.0,0.135,bid
91234.9,0.269,bid
91234.8,0.206,bid
91234.7,0.064,bid
91234.6,0.12,bid
91234.5,0.111,bid
91234.4,0.128,bid
91234.3,0.18,bid
91234.2,0.119,bid
91234.1,0.096,bid
91234.0,0.07,bid
91233.9,0.491,bid
91233.8,0.112,bid
91233.7,0.048,bid
91233.6,0.369,bid
91233.5,0.138,bid
91233.4,0.166,bid
91233.3,0.071,bid
91233.2,0.043,bid
91233.1,0.119,bid
91232.9,0.032,bid
91232.8,0.139,bid
91232.7,0.08,bid
91232.6,0.215,bid
91232.5,0.243,bid
91232.4,0.368,bid
91232.3,0.096,bid
91232.2,0.478,bid
91232.1,0.08,bid
91232.0,0.064,bid
91231.9,0.087,bid
91231.8,1.162,bid
91231.7,1.167,bid
91231.6,0.071,bid
91231.5,0.048,bid
91231.4,0.055,bid
91231.3,0.026,bid
91231.2,0.115,bid
91231.1,0.088,bid
91231.0,0.064,bid
91230.9,0.033,bid
91230.8,0.048,bid
91230.7,0.036,bid
91230.6,0.108,bid
91230.5,0.016,bid
91230.4,0.184,bid
91230.3,0.486,bid
91230.2,0.032,bid
91230.1,0.016,bid
91229.8,0.013,bid
91229.6,0.016,bid
91229.3,0.017,bid
91229.2,0.129,bid
91229.1,0.104,bid
91229.0,0.033,bid
91228.9,0.103,bid
91228.8,0.675,bid
91228.7,0.128,bid
91228.6,0.048,bid
91228.5,0.064,bid
91228.4,0.048,bid
91228.3,0.08,bid
91228.2,0.016,bid
91228.1,0.071,bid
91228.0,0.016,bid
91227.9,0.447,bid
91227.8,0.032,bid
91227.7,0.055,bid
91227.6,0.153,bid
91227.5,0.058,bid
91227.3,0.096,bid
91227.2,0.167,bid
91227.1,0.023,bid
91227.0,1.232,bid
91226.8,0.017,bid
91226.5,0.012,bid
91226.4,0.371,bid
91226.3,0.15,bid
91226.2,0.15,bid
91226.0,0.005,bid
91225.8,0.029,bid
91225.7,0.001,bid
91224.9,0.016,bid
91224.8,0.044,bid
91224.7,0.376,bid
91224.6,0.026,bid
91224.2,0.005,bid
91224.0,0.164,bid
91223.9,0.001,bid
91223.8,1.097,bid
91223.7,0.6,bid
91223.4,0.064,bid
91223.1,0.056,bid
91222.6,0.023,bid
91222.3,0.001,bid
91222.2,0.222,bid
91222.1,0.089,bid
91222.0,0.027,bid
91221.8,0.05,bid
